id	retained_domains1	lost_domains1	retained_domains2	lost_domains2	retained_domain_names1	lost_domain_names1	retained_domain_names2	lost_domain_names2
1	IPR008908|IPR032715|IPR026818|IPR028842|IPR037608|IPR015925|IPR008853|IPR033865	IPR026638|-|IPR013178|IPR033184|IPR051631|IPR052406|IPR053049|IPR024137	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR050998|IPR008814|IPR026737|IPR026058|IPR008853	Sarcoglycan alpha/epsilon|Nuclear receptor coactivator 6, TRADD-N domain|Adenomatous polyposis coli (APC) family|Afadin|Stromal interaction molecule|Ryanodine/Inositol 1,4,5-trisphosphate receptor|TMEM9/TMEM9B|Machado-Joseph disease protein	Nuclear receptor coactivator 6|-|Histone acetyltransferase Rtt109/CBP|Protein PRRC2|Ankyrin repeat and KH/SAM domain-containing protein|Chromatin Remodeling Complex Component|TSC22 domain-containing protein 2|Histone deacetylase complex subunit SAP130	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B
2	IPR008908|IPR032715|IPR026818|IPR028842|IPR037608|IPR015925|IPR008853|IPR033865	IPR026638|-|IPR013178|IPR033184|IPR051631|IPR052406|IPR053049|IPR024137	IPR007531|IPR029899|IPR040175|IPR052231|IPR031531|IPR052877|IPR029181|IPR051356	IPR050998|IPR039269|IPR050603|-|IPR047016|IPR051632|IPR052435|IPR039164	Sarcoglycan alpha/epsilon|Nuclear receptor coactivator 6, TRADD-N domain|Adenomatous polyposis coli (APC) family|Afadin|Stromal interaction molecule|Ryanodine/Inositol 1,4,5-trisphosphate receptor|TMEM9/TMEM9B|Machado-Joseph disease protein	Nuclear receptor coactivator 6|-|Histone acetyltransferase Rtt109/CBP|Protein PRRC2|Ankyrin repeat and KH/SAM domain-containing protein|Chromatin Remodeling Complex Component|TSC22 domain-containing protein 2|Histone deacetylase complex subunit SAP130	Dysbindin|Kinase non-catalytic C-lobe domain-containing protein 1|Methylcytosine dioxygenase TET1/2/3|Rho GEF and signaling-related domain-containing protein|Dynein axonemal assembly factor 8|Lamin Tail Domain-Containing Protein|Barttin|SOX/SOX-like transcription factors	Forkhead box protein P|Ankyrin repeat and fibronectin type-III domain-containing protein 1|MYST family histone acetyltransferases|-|Regulator of G protein signaling 6/7/9/11|Rho guanine nucleotide exchange factor|YY1-Associated Transcriptional Regulator|E3 ubiquitin-protein ligase UBR1-like
3	IPR045325|IPR022329|IPR055105|IPR026100|IPR042406|IPR039318|IPR050615|IPR004139	-|IPR001680|IPR032442|IPR006597|IPR002110|IPR000225|IPR007728|IPR015812	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR050998|IPR008814|IPR026737|IPR026058|IPR008853	TMEM70/TMEM186/TMEM223 protein family|Tumour necrosis factor receptor 25|Fukutin-related protein, stem domain|Transmembrane protein 223|Vitamin K epoxide reductase complex subunit 1|Protein O-mannose kinase|ATP-dependent DNA Helicase|Glycosyl transferase, family 13	-|WD40 repeat|Cytoplasmic tRNA 2-thiolation protein 1, C-terminal|Sel1-like repeat|Ankyrin repeat|Armadillo|Pre-SET domain|Integrin beta subunit	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B
4	IPR029619|IPR016015|IPR001909|IPR050169|IPR022084|IPR008858|IPR039587|IPR049401	IPR050589|-|IPR028440|IPR051574|IPR050998|IPR051356|IPR051971|IPR040436	IPR006597|IPR050449|IPR001680|IPR000225|IPR045227|IPR015812|IPR006624|IPR002048	IPR050122|IPR051568|-|IPR050971|IPR039808|IPR045055|IPR051566|IPR050467	Protein FAM81|Clusterin, C-terminal|Krueppel-associated box|Krueppel C2H2-type zinc-finger|Transcription factor Elf, N-terminal|TROVE domain|TMEM248/TMEM219 domain|DZF domain, N-terminal	Ikaros C2H2-type zinc-finger|-|Transcription factor TRPS1|Zinc finger E-box-binding homeobox|Forkhead box protein P|SOX/SOX-like transcription factors|E3 ubiquitin-protein ligase PDZ domain-containing protein|Protein disconnected-like	Sel1-like repeat|Ephrin receptor tyrosine kinases|WD40 repeat|Armadillo|WD repeat-containing protein WDR18/Ipi3/RID3|Integrin beta subunit|Beta-propeller repeat TECPR|EF-hand domain	Receptor Tyrosine Kinase|LZTR1/Attractin|-|Cadherin domain-containing protein|Cadherin|DNA2/NAM7-like helicase|Connector enhancer of kinase suppressor of Ras|Leucine-rich repeat and fibronectin type-III domain-containing
5	IPR012510|IPR013087|IPR014836|IPR001442|IPR000225|IPR051418|IPR019517|IPR024131	IPR050589|IPR028440|-|IPR050998|IPR051356|IPR051971|IPR051574|IPR040436	IPR050122|IPR039181|IPR051568|IPR050440|IPR047871|-|IPR050653|IPR050540	IPR051569|IPR050996|IPR052213|IPR050614|IPR050384|IPR040436|-|IPR043537	Actin-binding, Xin repeat|Zinc finger C2H2-type|Integrin beta subunit, cytoplasmic domain|Collagen IV, non-collagenous|Armadillo|Spondin/Thrombospondin type-1 domain-containing|Integrin binding protein, ICAP-1|Uncharacterised protein family UPF0489	Ikaros C2H2-type zinc-finger|Transcription factor TRPS1|-|Forkhead box protein P|SOX/SOX-like transcription factors|E3 ubiquitin-protein ligase PDZ domain-containing protein|Zinc finger E-box-binding homeobox|Protein disconnected-like	Receptor Tyrosine Kinase|Endosome/lysosome-associated apoptosis and autophagy regulator family member 1/2|LZTR1/Attractin|Laminin/Netrin Extracellular Matrix|Calcium-activated potassium channel slowpoke-like|-|Protease Inhibitors and Growth Factor Antagonists|F-actin Monooxygenase Mical	SH3 and multiple ankyrin repeat domains protein|Docking Protein Family (DOK)|Partitioning defective 3 homolog|Synaptic Scaffolding LAP/MAGUK Families|Endophilin/SH3RF|Protein disconnected-like|-|Tiam1/Tiam2/Protein still life
6	IPR028246|IPR029176|IPR049554|IPR051967|IPR046800|IPR026144|-|IPR003903	IPR040048|IPR039164|IPR052583|IPR052266|IPR052586|-|IPR021861|IPR050840	-|IPR000225|IPR000445|IPR002048|IPR012510|IPR014837|IPR001680|IPR007886	IPR033635|IPR008676|-|IPR006020|IPR050540|IPR050390|IPR052207|IPR051732	Cation channel sperm-associated auxiliary subunit gamma|Spermatogenesis-associated protein 24|DNMT3, ADD domain, PHD zinc finger|Krueppel C2H2-type Zinc-Finger Domain-Containing Protein|Plexin, cytoplasmic RhoGTPase-binding domain|Neuritin family|-|Ubiquitin interacting motif	Zinc finger protein 277|E3 ubiquitin-protein ligase UBR1-like|ATP-dependent Helicase/E3 Ubiquitin Ligase|Mitochondrial Rho GTPase/EF-hand domain-containing protein|Activating signal cointegrator 1 complex subunit 2|-|THO complex, subunit THOC1|Adaptor Complexes Large Subunit	-|Armadillo|Helix-hairpin-helix motif|EF-hand domain|Actin-binding, Xin repeat|EF-hand, Ca insensitive|WD40 repeat|Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal	Ankyrin repeat and SAM domain-containing protein 1/Caskin|MRG|-|PTB/PI domain|F-actin Monooxygenase Mical|DNA Cytosine-5 Methyltransferase|Max-like/E-box-binding transcription factors|Upstream Stimulatory Factor
7	IPR028246|IPR029176|IPR049554|IPR051967|IPR046800|IPR026144|-|IPR003903	IPR040048|IPR039164|IPR052583|IPR052266|IPR052586|-|IPR021861|IPR050840	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR050998|IPR008814|IPR026737|IPR026058|IPR008853	Cation channel sperm-associated auxiliary subunit gamma|Spermatogenesis-associated protein 24|DNMT3, ADD domain, PHD zinc finger|Krueppel C2H2-type Zinc-Finger Domain-Containing Protein|Plexin, cytoplasmic RhoGTPase-binding domain|Neuritin family|-|Ubiquitin interacting motif	Zinc finger protein 277|E3 ubiquitin-protein ligase UBR1-like|ATP-dependent Helicase/E3 Ubiquitin Ligase|Mitochondrial Rho GTPase/EF-hand domain-containing protein|Activating signal cointegrator 1 complex subunit 2|-|THO complex, subunit THOC1|Adaptor Complexes Large Subunit	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B
8	IPR028246|IPR029176|IPR049554|IPR051967|IPR046800|IPR026144|-|IPR003903	IPR040048|IPR039164|IPR052583|IPR052266|IPR052586|-|IPR021861|IPR050840	IPR008676|-|IPR050390|IPR052207|IPR040138|IPR050540|IPR033635|IPR037794	-|IPR024162|IPR014764|IPR040385|IPR004882|IPR050614|IPR022735|IPR050302	Cation channel sperm-associated auxiliary subunit gamma|Spermatogenesis-associated protein 24|DNMT3, ADD domain, PHD zinc finger|Krueppel C2H2-type Zinc-Finger Domain-Containing Protein|Plexin, cytoplasmic RhoGTPase-binding domain|Neuritin family|-|Ubiquitin interacting motif	Zinc finger protein 277|E3 ubiquitin-protein ligase UBR1-like|ATP-dependent Helicase/E3 Ubiquitin Ligase|Mitochondrial Rho GTPase/EF-hand domain-containing protein|Activating signal cointegrator 1 complex subunit 2|-|THO complex, subunit THOC1|Adaptor Complexes Large Subunit	MRG|-|DNA Cytosine-5 Methyltransferase|Max-like/E-box-binding transcription factors|Mesoderm induction early response protein/metastasis-associated protein|F-actin Monooxygenase Mical|Ankyrin repeat and SAM domain-containing protein 1/Caskin|Transcription initiation factor TFIID subunit 12	-|Adaptor protein Cbl|Defective-in-cullin neddylation protein|Rab-like protein 6|Luc7-related|Synaptic Scaffolding LAP/MAGUK Families|bMERB domain|Rab GTPase-activating TBC domain-containing protein
9	IPR000684|IPR049147|IPR026737|IPR050998|IPR025799|IPR000354|IPR009443|IPR048452	IPR049147|IPR000684|IPR025799|IPR008814|IPR050998|IPR026737|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR050998|IPR008814|IPR026737|IPR026058|IPR008853	RNA polymerase II, heptapeptide repeat, eukaryotic|FAM186A, PQQAQ repeat|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Involucrin repeat|Nuclear pore complex interacting protein|Mastermind-like protein 2, transcriptional activation domain	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Forkhead box protein P|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B
10	IPR029569|IPR012858|IPR019395|IPR029248|IPR032362|IPR007203|IPR056227|IPR051869	IPR019412|IPR005615|IPR025799|IPR035247|IPR056833|IPR049039|IPR006822|IPR019734	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR050998|IPR008814|IPR026737|IPR026058|IPR008853	Calcium homeostasis modulator family|Dendritic cell-specific transmembrane protein-like|Transmembrane protein 161A/B|Transmembrane protein 107|Ferlin, C-terminal domain|ORMDL family|ABC transporter, TMD0 domain|StAR-related Lipid Transfer (STARD3)	Inclusion body clearance protein Iml2/Tetratricopeptide repeat protein 39|Glutathione synthase|Protein arginine N-methyltransferase|PRMT5, TIM barrel domain|Tetratricopeptide repeat protein 21A/21B, N-terminal ARM repeat|Regulator of microtubule dynamics protein 1-3, alpha helical repeats|Coatomer, epsilon subunit|Tetratricopeptide repeat	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B
