id	retained_domains1	lost_domains1	retained_domains2	lost_domains2	retained_domain_names1	lost_domain_names1	retained_domain_names2	lost_domain_names2
1	IPR056564|IPR009038|IPR026170|IPR000608|IPR035247|IPR051170|IPR025799|IPR010294	IPR042315|IPR019394|IPR013284|IPR013836|IPR045575|IPR008853|IPR037608|IPR050774	IPR013087|IPR037626|IPR001680|IPR002048|IPR024131|IPR011598|IPR018487|IPR007886	IPR000647|IPR052771|IPR026058|IPR042345|IPR035426|IPR004979|-|IPR013790	KY-like, immunoglobulin-like domain|GOLD domain|N-lysine methyltransferase FAM173A/B|Ubiquitin-conjugating enzyme E2, catalytic core domain|PRMT5, TIM barrel domain|Neural and epithelial cell adhesion domain-containing protein|Protein arginine N-methyltransferase|ADAMTS/ADAMTS-like, Spacer 1	RELT-like protein 1|Testis-specific protein TEX28/transmembrane and coiled-coil domains protein|Beta-catenin|CD34/Podocalyxin|Astrotactin-1/2, N-terminal|TMEM9/TMEM9B|Stromal interaction molecule|KCMF1 and Dystrophin	Zinc finger C2H2-type|Nucleoporin Nup37|WD40 repeat|EF-hand domain|Uncharacterised protein family UPF0489|Myc-type, basic helix-loop-helix (bHLH) domain|Hemopexin-like repeats|Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal	CTF transcription factor/nuclear factor 1|Neurotrophin-activated signaling adaptor|LIPIN family|BTB/POZ domain-containing protein 7|Gemin2/Brr1|Transcription factor AP-2|-|Dwarfin
2	IPR052060|IPR039360|IPR039164|IPR026791|IPR001666|IPR033270|IPR050517|IPR049567	IPR037830|IPR045199|IPR039977|IPR039883|IPR043563|IPR040263|IPR042622|-	IPR049147|IPR025799|IPR008814|IPR000684|IPR026737|IPR050998|IPR026058|IPR008853	IPR000684|IPR049147|IPR026737|IPR050998|IPR025799|IPR008814|IPR026058|IPR008853	Bromodomain and WD repeat-containing|Ras GTPase-activating protein|E3 ubiquitin-protein ligase UBR1-like|Dedicator of cytokinesis|Phosphatidylinositol transfer protein|VPRBP/DCAF1 family|DNA Damage Response and Repair Kinase|GATOR complex protein WDR59-like	ZZ-type zinc finger-containing protein 3|ATPase family AAA domain-containing protein ATAD2-like|Histone-lysine N-methyltransferase Suv4-20/Set9|Fcf2/DNTTIP2|Nuclear body protein Sp110/Sp140/Sp140L-like|PWWP domain-containing DNA repair factor 3A/3B/4|Zinc finger protein 106|-	FAM186A, PQQAQ repeat|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|LIPIN family|TMEM9/TMEM9B	RNA polymerase II, heptapeptide repeat, eukaryotic|FAM186A, PQQAQ repeat|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
3	IPR001102|IPR005615|IPR010294|IPR015812|IPR019734|IPR002048|IPR015359|IPR006597	IPR051355|-|IPR039808|IPR051830|IPR052071|IPR043550|IPR050310|IPR051022	IPR026054|IPR045152|-|IPR045107|IPR052828|IPR051630|IPR047163|IPR050889	IPR026054|IPR031908|-|IPR042616|IPR051767|IPR018892|IPR052248|IPR013913	Transglutaminase, N-terminal|Glutathione synthase|ADAMTS/ADAMTS-like, Spacer 1|Integrin beta subunit|Tetratricopeptide repeat|EF-hand domain|Phosphoinositide-specific phospholipase C, EF-hand-like domain|Sel1-like repeat	Notch and Slit guidance protein|-|Cadherin|Neurogenic locus notch homolog|Signal peptide, CUB and EGF-like domain-containing protein|Histone-lysine N-methyltransferase EHMT1/EHMT2|VPS10-related sortilin family receptors|Notch Signaling and Cell Fate Determination	Nuclear pore complex protein|Enhancer of mRNA-decapping protein 4-like|-|SAC3/GANP/THP3|Negative elongation factor A domain-containing protein|Transcriptional Corepressor and Histone Demethylase|Apoptosis-stimulating of p53 protein 1/2|Dendritic Spine Regulation and Scaffold	Nuclear pore complex protein|Germinal-centre associated nuclear protein, nucleoporin homology domain|-|Proline and serine-rich protein 1|Nucleoporin NUP42 domain-containing protein|Retro-transposon transporting motif|Arf-GAP domain and FG repeat-containing protein|Nucleoporin Nup153, N-terminal
4	IPR045261|IPR042427|IPR045189|IPR025704|IPR024627|IPR045322|IPR051493|IPR051165	IPR038892|IPR039893|IPR024789|IPR000212|IPR053033|IPR051364|IPR026848|IPR037895	IPR049147|IPR025799|IPR008814|IPR000684|IPR026737|IPR050998|IPR026058|IPR008853	IPR000684|IPR049147|IPR026737|IPR050998|IPR025799|IPR008814|IPR026058|IPR008853	MICRORCHIDIA ATPase family|Zinc finger FYVE domain-containing protein 1|E3 ubiquitin ligase UBR4-like|E3 ubiquitin ligase UBR4, C-terminal|V(D)J recombination-activating protein 1|E3 ubiquitin-protein ligase HECTD1/TRIP12-like|Chromodomain-helicase-DNA-binding|Multifunctional Ankyrin Repeat Domain-Containing Protein	Structural maintenance of chromosomes flexible hinge domain-containing protein 1|Centrosomal protein of 120kDa-like|Anaphase-promoting complex subunit 4|DNA helicase, UvrD/REP type|Androglobin-like|Cytokinesis and Rho signaling-related protein|E3 ubiquitin-protein ligase FANCL|NudC domain-containing protein 1	FAM186A, PQQAQ repeat|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|LIPIN family|TMEM9/TMEM9B	RNA polymerase II, heptapeptide repeat, eukaryotic|FAM186A, PQQAQ repeat|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
5	IPR051226|IPR053210|IPR043593|IPR027640|-|IPR047171|IPR052771|IPR013178	IPR051226|IPR029300|IPR051176|IPR039041|IPR052098|IPR051187|IPR029978|IPR033489	IPR002048|IPR004908|-|IPR000225|IPR001680|IPR007886|IPR014837|IPR004823	-|IPR030379|IPR051978|IPR026791|IPR051316	Protein Phosphatase 1 Regulatory Subunit|Ankyrin repeat domain-containing protein 12|Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein|Kinesin-like protein|-|Bromodomain adjacent to zinc finger domain protein 1A|Neurotrophin-activated signaling adaptor|Histone acetyltransferase Rtt109/CBP	Protein Phosphatase 1 Regulatory Subunit|CEP170, C-terminal|Centrosomal and Immune Signaling Modulators|Nav/unc-53 family|Presynaptic Scaffold Protein Bassoon/Piccolo|Pre-mRNA 3'-end-processing regulator|LIM domain only protein 7|E3 ubiquitin-protein ligase RBBP6 family	EF-hand domain|ATPase, V1 complex, subunit H|-|Armadillo|WD40 repeat|Alanine dehydrogenase/pyridine nucleotide transhydrogenase, N-terminal|EF-hand, Ca insensitive|TATA box binding protein associated factor (TAF), histone-like fold domain	-|Septin-type guanine nucleotide-binding (G) domain|Rho GTPase-activating domain-containing protein|Dedicator of cytokinesis|Zinc-regulated GTPase metalloprotein activator
6	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR008814|IPR050998|IPR026737|IPR026058|IPR008853	IPR050599|IPR028823|IPR043203|IPR051171|IPR024862|IPR027640|-|IPR028744	IPR050599|IPR028823|IPR028744|IPR043203|IPR050818|IPR051700|-|IPR050701	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Forkhead box protein P|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B	Voltage-dependent calcium channel alpha-1 subunit|Sodium leak channel NALCN|Voltage-gated cation channel calcium and sodium|Calcium/Cation Antiporter|Transient receptor potential cation channel subfamily V|Kinesin-like protein|-|Cation channel sperm-associated protein 4	Voltage-dependent calcium channel alpha-1 subunit|Sodium leak channel NALCN|Cation channel sperm-associated protein 4|Voltage-gated cation channel calcium and sodium|Potassium channel, voltage-dependent, EAG/ELK/ERG-like, animal-type|STE20 Ser/Thr Protein Kinase|-|Histone Modification Regulator
7	IPR050473|-|IPR011626|IPR039373|IPR050449|IPR001747|IPR002890|IPR051237	IPR000734|IPR031777|IPR051142|-|IPR043406|IPR007990|IPR019577|IPR016017	IPR049147|IPR025799|IPR008814|IPR000684|IPR026737|IPR050998|IPR026058|IPR008853	IPR000684|IPR049147|IPR026737|IPR050998|IPR025799|IPR008814|IPR026058|IPR008853	Alpha-2-macroglobulin/Complement system|-|Alpha-macroglobulin-like, TED domain|Transferrin receptor protein 1/Glutamate carboxypeptidase 2-like|Ephrin receptor tyrosine kinases|Vitellogenin, N-terminal|Macroglobulin domain|Ferric-chelate Reductase and Defense	Triacylglycerol lipase family|Sortilin, C-terminal|Glycosyltransferase 29|-|Transmembrane glycoprotein EPCAM/Trop-2|Prolactin-inducible protein|SPARC/Testican, calcium-binding domain|GDNF/GAS1	FAM186A, PQQAQ repeat|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|LIPIN family|TMEM9/TMEM9B	RNA polymerase II, heptapeptide repeat, eukaryotic|FAM186A, PQQAQ repeat|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
8	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR008814|IPR050998|IPR026737|IPR026058|IPR008853	IPR050149|IPR050938|-|IPR008160|IPR050392	IPR000885|IPR039181|IPR039721|IPR008908|IPR045575|IPR052252|-|IPR052105	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Forkhead box protein P|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B	Collagen superfamily|Collagen and Collagen-like Structural Proteins|-|Collagen triple helix repeat|Collagen/C1q domain-containing	Fibrillar collagen, C-terminal|Endosome/lysosome-associated apoptosis and autophagy regulator family member 1/2|D-glucuronyl C5-epimerase|Sarcoglycan alpha/epsilon|Astrotactin-1/2, N-terminal|Cell surface hyaluronidase CEMIP/CEMIP2|-|Alpha-1,6-mannosylglycoprotein 6-beta-N-acetylglucosaminyltransferase
9	IPR032757|IPR052620|IPR051696|IPR051232|IPR008677|IPR026161|IPR040210|IPR029627	IPR050777|-|IPR050701|IPR050603|IPR047269|IPR043550|IPR050311|IPR050331	IPR049147|IPR025799|IPR008814|IPR000684|IPR026737|IPR050998|IPR026058|IPR008853	IPR000684|IPR049147|IPR026737|IPR050998|IPR025799|IPR008814|IPR026058|IPR008853	Domain of unknown function DUF4683|ELYS/MEL-28 Nuclear Assembly Factor|DENN Domain-Containing GEFs|AT-rich Interactive Domain/SWI1 Chromatin Remodeling|MRVI1|FAM178 family|Cep85/Cep85L|Serine-rich coiled-coil domain-containing protein	SET2 Histone-Lysine N-Methyltransferase|-|Histone Modification Regulator|MYST family histone acetyltransferases|Zinc finger MYND domain-containing protein 11|Histone-lysine N-methyltransferase EHMT1/EHMT2|Origin Recognition Complex 1/Cell Division Control Protein 6|Zinc finger	FAM186A, PQQAQ repeat|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|LIPIN family|TMEM9/TMEM9B	RNA polymerase II, heptapeptide repeat, eukaryotic|FAM186A, PQQAQ repeat|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
10	IPR049147|IPR000684|IPR025799|IPR026737|IPR050998|IPR008814|IPR026058|IPR008853	IPR049147|IPR000684|IPR025799|IPR008814|IPR050998|IPR026737|IPR026058|IPR008853	IPR049147|IPR025799|IPR008814|IPR000684|IPR026737|IPR050998|IPR026058|IPR008853	IPR000684|IPR049147|IPR026737|IPR050998|IPR025799|IPR008814|IPR026058|IPR008853	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Golgin subfamily A member 6-like|Forkhead box protein P|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|RNA polymerase II, heptapeptide repeat, eukaryotic|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|Forkhead box protein P|Golgin subfamily A member 6-like|LIPIN family|TMEM9/TMEM9B	FAM186A, PQQAQ repeat|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|RNA polymerase II, heptapeptide repeat, eukaryotic|Golgin subfamily A member 6-like|Forkhead box protein P|LIPIN family|TMEM9/TMEM9B	RNA polymerase II, heptapeptide repeat, eukaryotic|FAM186A, PQQAQ repeat|Golgin subfamily A member 6-like|Forkhead box protein P|Protein arginine N-methyltransferase|Dolichyl-diphosphooligosaccharide--protein glycosyltransferase subunit Swp1|LIPIN family|TMEM9/TMEM9B
